time(s),timeDifference(ms),distance(cm),angle(degrees)
1.45,723652,36.33,88
1.51,788276,36.33,87
1.58,789456,36.35,88
1.64,854056,36.33,88
1.71,855240,36.33,88
1.77,919844,35.84,88
1.84,921020,36.35,88
1.90,985636,36.33,88
1.97,986804,36.33,88
2.04,1051432,36.33,88
2.10,1052628,36.33,87
2.17,1117256,36.28,87
2.24,1118456,36.09,88
2.30,1183092,36.31,87
2.37,1184280,36.33,88
2.43,1248928,36.31,88
2.50,1250120,36.33,88
2.56,1314752,36.31,88
2.63,1315944,36.21,88
2.70,1380576,36.07,88
2.76,1381760,36.31,88
2.83,1446396,36.31,87
2.89,1447596,36.06,87
2.96,1512256,36.77,88
3.02,1513420,36.33,88
3.09,1578104,36.67,87
