time(s),timeDifference(ms),distance(cm),angle(degrees)
3,1711704,42.70,94
3,1776704,42.82,93
3,1777560,42.55,88
3,1842580,42.70,88
3,1843420,42.81,88
3,1908436,42.81,88
3,1909276,42.70,88
3,1974292,42.81,88
3,1975132,42.81,88
4,2040148,42.23,88
4,2040988,42.70,88
4,2106004,42.82,88
4,2106840,42.70,93
4,2171868,42.69,94
4,2172700,42.81,94
4,2237728,42.70,93
4,2238552,42.47,88
4,2303592,42.81,93
4,2304424,42.81,88
4,2369444,42.45,88
4,2370280,42.81,93
4,2435304,42.81,94
4,2436132,42.70,94
4,2501164,42.57,67
5,2501984,42.79,0
5,2566972,42.70,2
5,2567788,42.21,0
5,2632788,42.81,1
5,2633600,42.81,0
5,2698596,42.70,0
5,2699412,42.70,0
5,2764552,45.36,88
5,2765272,42.69,89
5,2830408,42.30,116
5,2831148,42.38,178
5,2896280,42.30,178
5,2897044,42.81,177
5,2962192,42.81,179
5,2962960,42.70,179
5,3028068,42.38,77
6,3028792,42.14,2
6,3093860,42.30,1
6,3094600,42.67,3
6,3159668,42.55,2
6,3160424,42.79,1
6,3225476,42.69,0
6,3226208,42.38,0
6,3291260,42.14,179
6,3292092,42.30,177
6,3357152,42.69,178
6,3357968,42.14,178
6,3423056,42.70,178
6,3423864,42.70,178
6,3488960,42.81,180
6,3489768,42.47,180
7,3554860,42.79,0
7,3555576,42.79,3
7,3620668,42.19,1
7,3621368,42.28,1
7,3686456,42.40,3
7,3687172,42.82,1
7,3752284,42.70,0
7,3752984,42.67,179
7,3818160,42.40,177
7,3818860,42.08,177
7,3884028,42.30,180
7,3884740,42.40,178
7,3949912,42.14,2
7,3950552,42.30,4
7,4015700,42.40,0
8,4016340,42.42,177
8,4081580,42.04,179
8,4082208,42.28,178
8,4147456,42.40,88
8,4148040,42.04,89
8,4213288,42.31,88
8,4213880,42.42,88
8,4279120,42.42,88
8,4279720,42.31,88
8,4344984,42.82,88
8,4345552,42.42,88
8,4410816,41.82,88
8,4411384,42.31,88
8,4476656,42.42,88
