time(s),timeDifference(ms),distance(cm),angle(degrees)
3,1702752,36.99,88
3,1767488,36.99,88
3,1768264,36.75,88
3,1833000,36.99,88
3,1833776,37.01,88
3,1898512,36.99,88
3,1899288,36.99,88
3,1964024,36.99,88
3,1964800,36.99,88
3,2029536,36.75,88
4,2030328,37.01,88
4,2095048,36.99,88
4,2095840,36.99,88
4,2160560,36.75,88
4,2161352,36.99,88
4,2226072,37.01,88
4,2226864,37.01,88
4,2291600,37.01,88
4,2292376,36.99,88
4,2357112,36.99,88
4,2357888,36.75,88
4,2422640,36.99,88
4,2423400,37.01,88
4,2488152,37.01,88
4,2488912,36.77,88
5,2553668,37.01,88
5,2554420,37.01,88
5,2619188,36.99,88
5,2619956,37.01,88
5,2684704,37.01,88
5,2685476,37.01,88
5,2750212,36.50,88
5,2750988,36.99,88
5,2815724,36.99,88
5,2816500,36.99,88
5,2881236,37.01,88
5,2882012,37.01,88
5,2946752,36.91,88
5,2947520,36.64,88
5,3012256,36.89,88
6,3013036,36.91,88
6,3077768,36.91,88
6,3078552,36.65,88
6,3143296,36.99,88
6,3144068,36.99,88
6,3208812,36.99,88
6,3209588,37.01,88
6,3274332,36.99,88
6,3275104,37.01,88
6,3339840,36.74,88
6,3340632,36.99,88
6,3405356,37.01,88
6,3406140,37.01,88
6,3470868,36.75,88
6,3471652,37.01,88
7,3536380,37.01,88
7,3537164,36.99,88
7,3601908,36.99,88
7,3602676,37.01,88
7,3667420,37.01,88
7,3668188,36.75,88
7,3732952,37.01,88
7,3733700,37.01,88
7,3798464,37.01,88
7,3799208,36.75,88
7,3863984,36.99,88
7,3864720,37.01,88
7,3929496,37.01,88
7,3930248,37.01,88
7,3995008,37.01,88
7,3995760,37.01,88
8,4060520,36.50,88
8,4061272,37.01,88
8,4126036,37.01,88
8,4126780,37.01,88
8,4191524,36.57,88
8,4192300,37.01,88
8,4257036,36.99,88
8,4257812,36.75,88
8,4322572,37.01,88
8,4323324,36.99,88
8,4388084,36.99,88
8,4388836,36.75,88
8,4453596,37.01,88
8,4454348,36.99,88
8,4519116,36.89,88
9,4519876,36.89,88
9,4584620,36.89,88
9,4585392,36.91,88
9,4650128,36.65,88
9,4650948,37.35,88
9,4715640,36.91,88
9,4716484,37.35,88
9,4781176,37.11,88
9,4782004,36.91,88
9,4846696,36.99,88
9,4847528,37.01,88
9,4912228,36.99,88
9,4913044,37.01,88
9,4977748,37.01,88
9,4978592,36.96,88
10,5043272,37.01,88
10,5044168,37.01,88
10,5108824,36.91,88
10,5109720,36.89,88
10,5174380,36.89,88
10,5175268,36.89,88
10,5239932,36.65,88
10,5240820,36.89,88
10,5305484,36.91,88
10,5306380,36.89,88
10,5371044,36.77,88
10,5371940,37.01,88
10,5436604,36.99,88
10,5437500,37.01,88
10,5502172,37.01,88
11,5503060,36.99,88
11,5567740,37.01,88
11,5568624,36.52,88
11,5633296,36.99,88
11,5634184,37.01,88
11,5698848,36.99,88
11,5699744,37.01,88
11,5764408,36.99,88
11,5765308,37.01,88
11,5829964,36.75,88
11,5830868,36.99,88
11,5895528,37.01,88
11,5896448,37.45,88
11,5961088,36.75,88
11,5962008,36.99,88
11,6026652,37.01,88
12,6027588,37.45,88
12,6092232,37.01,88
12,6093148,37.01,88
12,6157788,37.01,88
12,6158728,37.20,88
12,6223388,37.45,88
12,6224312,37.47,88
12,6288992,37.45,88
12,6289888,37.37,88
12,6354580,37.35,88
12,6355472,37.35,88
12,6420160,37.20,88
12,6421060,37.45,88
12,6485716,37.01,88
12,6486620,37.01,88
13,6551308,37.21,88
13,6552216,37.45,88
13,6616876,37.01,88
13,6617796,37.45,88
13,6682452,37.01,88
13,6683384,37.45,88
13,6748036,37.45,88
13,6748964,36.96,88
13,6813624,37.45,88
13,6814548,37.45,88
13,6879180,36.99,88
13,6880136,37.47,88
13,6944772,37.45,88
13,6945720,37.45,88
13,7010364,37.21,88
14,7011328,37.35,88
14,7075944,37.35,88
14,7076908,37.37,88
