time(s),timeDifference(ms),distance(cm),angle(degrees)
3,1704652,38.61,0
3,1769452,38.11,0
3,1770220,38.62,0
3,1835020,38.61,0
3,1835788,38.59,0
3,1900588,38.61,0
3,1901356,38.61,0
3,1966156,38.61,0
3,1966896,38.17,0
3,2031748,38.61,0
4,2032468,38.61,0
4,2097316,38.61,0
4,2098040,38.10,0
4,2162884,38.51,0
4,2163608,38.51,0
4,2228452,38.49,0
4,2229144,38.05,0
4,2294004,38.49,0
4,2294708,38.51,0
4,2359564,38.01,0
4,2360240,38.06,0
4,2425116,38.51,0
4,2425812,38.51,0
4,2490684,38.35,0
4,2491380,38.61,0
5,2556224,38.15,0
5,2556952,38.61,0
5,2621808,38.61,0
5,2622552,39.03,88
5,2687412,38.59,89
5,2688164,38.10,88
5,2753020,38.61,88
5,2753780,38.61,88
5,2818628,38.61,88
5,2819384,38.61,88
5,2884240,38.61,88
5,2885000,38.61,88
5,2949852,38.25,88
5,2950620,38.49,88
5,3015460,38.51,88
6,3016232,38.61,88
6,3081068,38.35,88
6,3081868,39.03,156
6,3146952,42.59,177
6,3147516,38.35,178
6,3212620,38.51,179
6,3213160,38.49,180
6,3278272,38.61,179
6,3278812,38.35,180
6,3344188,42.99,88
6,3344444,39.03,89
6,3409796,38.34,88
6,3410056,38.59,88
6,3475408,38.49,88
6,3475652,38.49,88
7,3541036,38.69,0
7,3541216,38.59,2
7,3606600,38.61,1
7,3606808,39.05,1
7,3672200,39.05,0
7,3672608,42.59,88
7,3737860,39.51,89
7,3738220,38.11,88
7,3803500,39.05,88
7,3803864,38.96,88
7,3869132,38.96,88
7,3869472,38.51,88
7,3934772,39.07,88
7,3935076,38.61,88
7,4000380,38.37,88
8,4000700,38.61,88
8,4065996,38.61,88
8,4066316,38.61,88
8,4131612,38.37,88
8,4131932,38.61,88
8,4197228,38.61,88
8,4197552,38.34,88
8,4262848,38.51,88
8,4263160,38.51,88
8,4328464,38.61,88
8,4328776,38.37,88
8,4394072,38.61,88
