time(s),timeDifference(ms),distance(cm),angle(degrees)
1702964,37.01,88
3,1767584,37.45,88
3,1768480,36.75,88
3,1833124,37.43,88
3,1834024,37.45,88
3,1898644,37.01,88
3,1899552,36.99,88
3,1964152,36.91,88
3,1965064,36.89,88
3,2029664,36.65,88
4,2030584,36.91,87
4,2095180,36.91,88
4,2096092,36.89,88
4,2160700,36.75,88
4,2161612,37.01,88
4,2226212,37.01,88
4,2227136,37.01,88
4,2291744,37.01,88
4,2292660,37.01,87
4,2357256,37.01,88
4,2358168,36.50,88
4,2422768,36.99,88
4,2423684,37.01,88
4,2488276,37.01,88
4,2489196,37.01,88
5,2553792,37.01,88
5,2554704,37.01,88
5,2619308,36.75,88
5,2620220,36.99,88
5,2684820,37.01,88
5,2685732,37.01,88
5,2750336,36.75,88
5,2751248,37.01,88
5,2815876,37.45,88
5,2816792,37.45,88
5,2881420,37.47,88
5,2882336,37.47,88
5,2946940,37.01,88
5,2947872,37.20,88
5,3012500,37.45,88
6,3013416,37.45,88
6,3078044,37.45,88
6,3078960,37.20,88
6,3143588,37.45,88
6,3144504,37.45,88
6,3209132,37.45,88
6,3210060,37.45,88
6,3274680,37.47,88
