time(s),timeDifference(ms),distance(cm),angle(degrees)
1.45,723900,36.77,88
1.51,788560,36.79,88
1.58,789724,36.79,88
1.64,854372,36.79,88
1.71,855528,36.77,88
1.77,920180,36.43,88
1.84,921332,36.77,88
1.91,985992,36.77,88
1.97,987140,36.77,88
2.04,1051824,36.77,88
2.10,1052988,36.79,88
2.17,1117644,36.33,88
2.24,1118840,36.43,88
2.30,1183496,36.77,87
2.37,1184692,36.79,88
2.43,1249364,36.52,88
2.50,1250568,36.79,88
2.57,1315184,36.35,88
2.63,1316436,36.79,88
2.70,1381040,36.77,88
2.76,1382284,36.79,88
2.83,1446896,36.79,88
2.89,1448140,36.30,88
2.96,1512744,36.79,88
3.03,1513988,36.77,88
3.09,1578600,36.69,88
3.16,1579860,36.77,88
3.22,1644452,36.79,88
3.29,1645708,36.67,88
3.36,1710304,36.53,88
3.42,1711576,36.77,88
3.49,1776164,36.77,88
3.55,1777436,36.53,87
3.62,1842016,36.77,88
3.68,1843300,36.77,88
3.75,1907872,36.77,88
3.82,1909148,36.53,88
3.88,1973724,36.77,88
3.95,1975008,36.79,88
4.01,2039572,36.53,88
4.08,2040880,36.77,88
4.15,2105420,36.67,88
4.21,2106736,36.77,88
4.28,2171292,36.79,88
