time(s),timeDifference(ms),distance(cm),angle(degrees)
3,1709560,42.65,88
3,1773628,43.01,88
3,1775424,43.01,88
3,1839492,42.65,88
3,1841312,43.01,88
3,1905356,43.01,88
3,1907176,42.91,88
3,1971232,42.96,88
3,1973044,43.01,88
4,2037096,42.91,88
4,2038908,42.43,88
4,2102968,43.01,88
4,2104772,42.91,88
4,2168848,42.91,88
4,2170584,42.02,88
4,2234716,42.89,88
4,2236452,42.91,88
4,2300592,42.77,88
4,2302324,42.91,88
4,2366464,42.91,88
4,2368200,42.76,88
4,2432348,42.91,88
4,2434072,42.89,88
4,2498220,43.01,88
4,2499944,43.01,88
5,2564084,42.91,88
5,2565820,43.01,88
5,2629952,42.52,88
5,2631700,42.91,88
5,2695592,39.07,88
5,2697332,39.07,88
5,2761224,39.07,88
5,2762964,39.07,88
5,2826828,38.61,88
5,2828580,38.11,88
5,2892472,39.05,88
5,2894192,38.51,88
5,2958088,38.51,88
5,2959800,38.51,88
5,3023708,38.61,88
6,3025412,38.59,88
6,3089320,38.37,88
6,3091040,38.61,88
6,3154936,38.61,88
6,3156656,38.61,88
6,3220552,38.37,88
6,3222272,38.61,88
6,3286172,38.62,88
6,3287884,38.35,88
6,3351788,38.52,88
6,3353748,42.91,88
6,3417404,38.61,88
6,3419624,42.76,88
6,3483276,42.91,88
6,3485488,42.91,88
7,3549124,42.36,88
7,3551360,42.91,88
7,3614988,42.91,88
7,3617232,43.01,88
7,3680848,42.65,88
7,3682872,38.96,88
7,3746484,38.96,88
7,3748744,42.77,88
7,3812372,43.01,88
7,3814616,42.91,88
7,3878240,43.01,88
7,3880484,42.99,0
7,3944060,42.87,87
7,3946112,38.95,87
7,4009872,41.53,87
8,4011928,42.02,88
8,4075680,41.91,88
8,4077564,38.96,88
8,4141504,41.94,88
8,4143380,42.02,88
8,4207368,42.93,88
8,4209248,42.42,88
8,4273224,42.59,0
8,4275048,42.60,4
8,4338816,39.05,4
8,4340648,38.95,0
8,4404408,38.96,0
8,4406240,38.96,0
8,4470020,38.90,88
8,4472084,42.59,89
9,4535652,39.05,89
9,4537720,39.07,88
9,4601284,39.05,97
9,4603556,42.48,179
9,4666980,39.39,177
9,4669264,39.27,178
9,4732880,42.60,178
9,4735156,42.50,178
9,4798556,38.95,180
9,4801084,42.98,88
9,4864396,42.59,89
9,4866716,38.95,89
9,4930036,38.45,88
9,4932560,42.50,88
9,4995676,39.07,88
9,4998192,39.07,88
10,5061296,38.61,88
10,5063848,38.61,88
