time(s),timeDifference(ms),distance(cm),angle(degrees)
3,1703052,36.99,88
3,1767860,37.01,88
3,1768564,36.75,88
3,1833372,37.01,88
3,1834076,37.01,88
3,1898884,36.99,88
3,1899604,36.99,88
3,1964396,36.99,88
3,1965116,37.01,88
3,2029912,36.55,88
4,2030632,36.99,88
4,2095452,37.45,88
4,2096176,37.45,88
4,2160968,36.75,88
4,2161692,37.01,88
4,2226508,37.45,88
4,2227236,37.21,88
4,2292060,37.45,88
4,2292756,36.99,88
4,2357604,37.47,88
4,2358276,36.52,88
4,2423152,37.45,88
4,2423828,37.45,88
4,2488696,37.45,88
4,2489372,37.45,88
5,2554212,36.99,88
5,2554920,37.45,88
5,2619732,36.77,88
5,2620456,37.01,88
5,2685276,37.45,88
5,2686000,37.47,88
5,2750820,37.21,88
5,2751544,37.47,88
5,2816364,37.45,88
5,2817088,37.45,88
5,2881916,37.45,88
5,2882632,37.47,88
5,2947460,37.45,88
5,2948176,36.96,88
5,3013004,37.45,88
6,3013720,37.45,88
6,3078520,37.01,88
6,3079260,37.45,88
6,3144064,37.45,88
6,3144804,37.45,88
6,3209608,37.20,88
6,3210360,37.45,88
6,3275156,37.45,88
6,3275904,37.45,88
6,3340700,37.20,88
6,3341448,37.45,88
6,3406244,37.45,88
6,3406992,37.45,88
6,3471804,37.47,88
6,3472536,37.45,88
7,3537348,37.45,88
7,3538080,37.20,88
7,3602908,37.45,88
7,3603600,37.01,88
7,3668444,37.45,88
7,3669144,37.20,88
7,3733964,37.01,88
7,3734680,37.43,88
7,3799508,37.45,88
7,3800240,37.45,88
7,3865052,37.45,88
7,3865784,37.45,88
7,3930596,36.94,88
7,3931300,36.99,88
7,3996116,36.99,88
7,3996812,36.99,88
8,4061632,37.01,88
