time(s),timeDifference(ms),distance(cm),angle(degrees)
1.45,723620,36.33,87
1.51,788296,36.33,88
1.58,789416,36.31,88
1.64,854088,36.31,88
1.71,855200,36.33,88
1.77,919872,35.82,88
1.84,920984,36.33,88
1.90,985664,36.33,88
1.97,986768,36.33,88
2.04,1051468,36.33,87
2.10,1052592,36.33,88
2.17,1117292,36.30,88
2.24,1118420,36.09,88
2.30,1183128,36.33,87
2.37,1184240,36.33,88
2.43,1248960,36.33,88
2.50,1250080,36.33,88
2.56,1314760,35.87,88
2.63,1315904,36.33,88
2.70,1380588,36.07,88
2.76,1381728,36.33,88
2.83,1446416,36.31,88
2.89,1447560,36.07,88
2.96,1512252,36.33,88
3.02,1513392,36.31,88
3.09,1578080,36.33,88
3.16,1579224,36.33,88
3.22,1643916,36.33,87
3.29,1645052,36.31,88
3.35,1709748,36.07,88
3.42,1710884,36.33,88
3.49,1775576,36.33,88
3.55,1776728,36.21,88
3.62,1841428,36.33,88
3.68,1842556,36.35,88
3.75,1907260,36.33,88
3.82,1908388,35.82,88
3.88,1973104,36.33,88
3.95,1974208,36.33,88
4.01,2038928,36.23,88
4.08,2040056,36.33,87
4.14,2104756,36.33,87
4.21,2105892,36.31,87
4.28,2170588,36.07,88
4.34,2171716,36.31,88
4.41,2236424,36.33,88
4.47,2237552,35.97,88
4.54,2302272,36.33,88
4.60,2303376,36.33,88
