time(s),timeDifference(ms),distance(cm),angle(degrees)
3,1708028,38.56,88
3,1773164,39.05,88
3,1773664,39.07,88
3,1838796,39.07,88
3,1839308,39.05,88
3,1904432,39.05,88
3,1904944,38.95,88
3,1970064,38.45,88
3,1970576,39.03,88
4,2035696,39.07,88
4,2036212,39.05,88
4,2101328,39.05,88
4,2101844,39.05,88
4,2166984,39.51,96
4,2167508,39.24,180
4,2232868,42.48,177
4,2233188,39.05,177
4,2298540,39.07,179
4,2298860,38.81,180
4,2364248,39.51,180
4,2364540,39.05,180
4,2429936,38.71,180
4,2430424,42.48,116
4,2495824,42.59,89
4,2496064,39.05,88
5,2561668,42.33,88
5,2561728,39.51,88
5,2627516,42.60,88
5,2627576,42.36,88
5,2693344,42.09,0
5,2693188,39.39,3
5,2758932,39.05,1
5,2758800,39.51,0
5,2824556,39.51,0
5,2824416,39.51,0
5,2890356,42.11,0
5,2890220,42.48,88
5,2956168,42.08,89
5,2955908,39.93,3
5,3021948,41.94,88
6,3021568,39.51,89
6,3087616,39.53,88
6,3087236,39.15,88
6,3153288,39.41,88
6,3153084,42.62,88
6,3219136,42.62,88
6,3218932,42.50,88
6,3284984,42.50,88
6,3284772,42.62,88
6,3350832,42.01,88
6,3350612,42.50,88
6,3416680,42.62,88
6,3416460,42.60,88
6,3482532,42.50,88
